raf,mek,plc,pip2,pip3,erk,akt,pka,pkc,p38,jnk
48.3,19.1,10.1,25.5,31.9,11.2,24.6,514.0,2.11,16.7,94.7
12.1,25.0,5.94,449.0,45.3,93.9,153.0,1568.0,4.29,47.0,6.49
48.3,23.3,5.19,75.0,21.7,17.8,28.6,673.0,15.7,34.0,3.82
75.7,17.6,1.43,340.0,29.7,7.23,21.7,644.0,11.5,21.1,2.0
13.8,9.56,16.7,146.0,19.3,175.0,223.0,661.0,10.4,42.2,70.4
85.1,64.4,6.85,13.7,5.47,32.8,63.2,1981.0,11.2,18.4,44.9
47.4,19.3,22.7,30.8,6.92,30.0,45.3,562.0,7.23,31.9,49.1
93.9,34.3,1.0,1.0,7.7,8.82,24.4,632.0,5.62,12.1,115.0
1.0,1.58,101.0,453.0,129.0,6.04,15.3,355.0,1.24,1.0,1.0
100.0,57.3,6.21,1.24,26.7,23.5,34.6,308.0,12.7,22.5,2.07
71.7,94.7,14.7,53.8,13.1,2.81,97.3,316.0,2.13,23.5,9.31
135.0,241.0,11.4,48.7,14.5,6.67,205.0,704.0,1.03,11.4,1.0
58.8,32.5,2.57,9.39,11.8,80.6,122.0,478.0,50.9,106.0,289.0
93.9,27.4,9.39,32.2,57.8,31.1,76.4,1334.0,16.7,25.7,3.13
30.2,17.9,66.1,276.0,66.7,50.0,76.4,673.0,29.7,56.7,74.3
89.0,77.7,8.06,165.0,39.2,45.7,151.0,1263.0,15.4,27.1,2.84
106.0,65.5,24.4,30.2,12.3,34.6,65.5,1144.0,2.41,12.1,17.6
181.0,271.0,13.8,9.56,20.2,16.0,204.0,4491.0,2.5,31.3,67.9
89.0,131.0,7.43,90.6,7.7,1.0,31.9,15.1,8.35,31.9,13.9
18.9,11.5,71.0,470.0,80.6,45.7,55.7,392.0,11.0,14.7,49.6
337.0,509.0,15.0,106.0,30.5,2.04,149.0,389.0,2.35,23.7,13.8
49.6,18.1,10.9,2.33,25.0,20.2,35.2,355.0,13.8,25.9,7.91
53.8,23.5,2.48,5.83,4.26,41.8,55.7,209.0,12.1,21.9,15.3
13.0,4.37,11.9,41.0,17.9,7.23,31.1,1486.0,18.8,46.1,20.0
93.1,31.1,9.06,151.0,5.0,7.17,26.2,1134.0,2.89,1.0,3.05
38.5,2.07,15.8,22.3,20.9,5.67,20.5,615.0,7.99,172.0,6.98
85.8,22.3,16.8,66.7,36.8,25.3,51.9,547.0,25.9,31.9,17.9
80.6,34.0,8.43,127.0,23.5,38.2,62.6,2091.0,2.33,3.4,6.79
63.2,27.6,10.4,21.1,35.9,7.17,45.7,1358.0,5.73,49.1,142.0
46.6,19.5,29.2,58.3,47.4,5.38,31.6,457.0,10.2,32.8,22.1
37.5,17.6,6.61,181.0,13.9,23.9,39.2,644.0,13.2,33.7,56.2
85.8,62.1,53.3,325.0,239.0,12.9,24.6,403.0,10.6,14.3,12.2
115.0,215.0,385.0,685.0,66.1,26.9,168.0,2.57,106.0,717.0,355.0
195.0,281.0,1670.0,2548.0,98.2,40.7,227.0,12.7,76.4,426.0,359.0
9.39,6.04,34.6,87.4,28.1,19.6,31.9,294.0,29.4,36.8,11.9
53.3,34.9,19.3,47.8,10.1,3.49,17.2,173.0,18.9,53.3,55.2
13.8,13.2,32.5,46.6,15.0,104.0,172.0,1747.0,20.4,30.8,63.2
50.5,1.0,27.6,31.6,23.9,83.5,99.1,1382.0,43.3,379.0,14.5
58.8,1.81,12.7,231.0,35.2,9.31,13.7,302.0,63.2,2525.0,12.6
61.5,1.01,34.3,457.0,73.0,25.7,26.4,365.0,1.08,1.0,1.86
111.0,168.0,14.7,7.99,7.77,1.0,20.4,45.3,1.0,10.2,5.19
400.0,626.0,153.0,239.0,4.53,45.3,316.0,12.1,102.0,599.0,90.6
175.0,49.1,7.84,7.77,26.2,17.3,34.0,313.0,14.2,14.6,2.97
17.9,8.2,10.8,32.2,6.98,21.5,50.9,396.0,9.22,25.5,38.5
64.9,22.9,13.2,31.9,4.14,13.7,44.5,1298.0,11.4,25.9,12.4
69.2,37.2,21.3,40.0,21.5,13.6,28.1,359.0,12.2,26.4,59.4
311.0,441.0,12.9,24.8,26.7,1.0,49.6,82.0,1.83,7.43,3.43
28.1,16.7,35.2,49.1,18.3,23.7,36.8,514.0,10.3,38.5,60.4
34.6,12.9,21.9,20.9,5.94,18.3,27.6,621.0,9.31,26.2,37.5
13.8,12.4,13.9,7.3,12.9,5.42,16.1,588.0,15.3,42.2,10.7
46.1,18.8,2.57,1.98,14.5,44.5,109.0,567.0,24.4,34.0,14.2
7.99,7.84,35.9,365.0,44.9,12.6,29.7,1155.0,6.04,41.4,66.7
248.0,422.0,158.0,267.0,11.2,49.1,264.0,5.52,12.4,69.8,231.0
2738.0,3889.0,11.3,86.6,13.3,19.1,64.4,1075.0,3.72,30.0,6.55
57.3,33.7,1.0,2.84,8.9,79.9,153.0,1219.0,6.21,13.0,5.19
13.7,25.9,29.4,42.9,32.2,14.1,67.3,429.0,2.89,1.58,1.26
359.0,470.0,9.31,168.0,31.1,1.0,13.6,87.4,1.0,18.8,8.06
20.2,17.8,6.32,111.0,42.9,4.1,16.3,375.0,5.88,29.2,145.0
79.9,27.9,3.89,1.0,13.8,49.6,139.0,1144.0,13.6,30.5,8.06
38.9,22.5,42.2,403.0,55.2,14.1,35.9,487.0,12.5,39.2,59.4
124.0,73.0,18.6,30.2,8.2,11.9,29.7,403.0,27.9,64.9,112.0
94.7,37.5,72.3,96.5,33.1,25.5,46.6,588.0,4.7,17.2,28.4
63.8,34.9,8.82,85.8,17.5,14.7,26.9,604.0,2.92,16.8,64.4
54.7,2.94,37.5,264.0,54.2,10.0,12.3,297.0,1.27,806.0,2.89
632.0,1000.0,14.6,41.8,13.8,6.92,132.0,1176.0,4.03,17.0,11.3
64.9,26.7,1.0,1.0,22.7,40.7,73.0,2054.0,2.76,13.7,47.8
42.9,3.79,10.0,19.5,12.6,42.2,40.0,229.0,1.0,1.39,1.89
14.1,11.5,3.19,1.0,20.9,12.4,126.0,189.0,23.3,34.3,17.6
644.0,1009.0,828.0,1472.0,80.6,32.8,160.0,6.67,59.4,340.0,80.6
53.8,20.7,59.4,337.0,223.0,13.2,31.1,533.0,29.7,40.7,12.1
85.8,107.0,14.5,35.2,8.74,1.36,17.6,50.0,3.59,38.9,2.55
14.3,23.1,7.57,267.0,28.9,10.0,35.5,1433.0,19.3,34.6,9.82
33.7,17.3,25.0,26.9,10.6,112.0,189.0,2035.0,3.55,16.1,23.1
32.5,77.0,10.7,25.0,19.8,1.0,23.5,93.9,1.0,28.4,6.32
126.0,142.0,19.1,163.0,15.1,26.9,38.9,583.0,1.72,13.1,12.3
62.6,33.4,11.7,119.0,44.5,24.6,52.8,2969.0,13.8,21.7,4.66
79.1,23.5,5.23,4.66,15.3,15.8,32.5,379.0,25.0,57.8,29.2
35.2,18.6,3.22,2.81,26.4,25.5,172.0,200.0,27.1,40.3,15.1
24.1,2.35,36.5,46.6,37.5,29.2,37.2,851.0,8.2,276.0,1.25
21.1,5.0,35.2,53.3,8.35,123.0,250.0,3491.0,8.58,21.7,44.9
33.4,27.4,10.1,61.5,13.1,10.8,24.1,573.0,3.37,4.14,8.9
36.5,15.8,25.0,23.3,1.38,30.2,62.1,505.0,2.55,5.09,1.72
27.1,16.4,12.2,135.0,22.5,8.2,19.8,757.0,17.5,43.7,2.31
102.0,81.3,6.1,26.4,23.9,123.0,217.0,1843.0,3.85,5.78,44.9
37.9,1.01,29.4,22.9,19.8,36.8,53.3,1186.0,1.0,11.8,1.96
49.1,43.3,31.1,32.8,17.8,19.6,42.2,599.0,4.07,16.7,24.4
308.0,200.0,16.0,93.9,29.7,17.8,31.9,655.0,11.2,17.5,7.1
47.8,17.9,19.5,55.2,41.8,19.8,28.9,426.0,14.7,21.3,10.7
16.1,14.3,8.9,42.9,21.1,17.0,30.2,698.0,9.91,21.1,38.5
90.6,44.5,6.04,170.0,21.7,16.3,25.9,685.0,13.6,14.7,8.2
63.8,19.6,14.7,36.2,46.1,11.1,51.4,1334.0,8.82,11.1,41.8
63.8,34.9,1.0,241.0,19.8,7.99,18.8,1124.0,17.2,31.1,3.31
120.0,85.8,9.73,114.0,13.3,8.06,15.8,578.0,6.85,21.1,75.7
124.0,4.91,27.4,219.0,67.9,52.3,71.7,1065.0,1.0,1.01,1.72
30.8,16.7,7.37,3.02,9.65,18.6,31.6,297.0,22.1,29.7,7.1
78.4,20.5,2.94,3.11,27.9,14.2,28.9,496.0,8.98,27.6,82.8
35.5,37.5,4.03,21.9,13.7,4.87,17.3,523.0,3.55,16.5,69.8
57.3,46.6,13.3,75.7,10.0,10.1,28.1,449.0,10.8,20.0,17.5
38.2,20.5,10.2,93.9,16.4,28.4,50.0,422.0,1.43,1.3,4.07
15.5,26.2,19.6,20.2,11.3,8.74,28.4,407.0,8.58,21.3,34.6
67.3,36.8,30.2,138.0,11.7,12.6,20.2,610.0,9.06,20.9,32.2
75.7,18.9,11.4,161.0,36.2,16.0,30.0,133.0,21.5,22.1,13.3
61.5,23.9,25.7,122.0,35.2,104.0,160.0,649.0,2.02,10.0,73.0
21.1,15.0,24.8,25.7,5.38,9.65,36.2,737.0,11.2,29.7,24.4
86.6,81.3,89.0,246.0,111.0,1.0,33.7,80.6,11.4,35.2,71.7
44.5,20.7,24.1,186.0,45.7,13.6,29.7,461.0,15.7,36.2,12.4
45.7,1.0,29.2,150.0,36.8,65.5,93.1,1999.0,1.0,4.37,1.95
28.6,14.5,16.3,21.7,4.29,30.8,46.6,349.0,22.9,41.4,1.43
34.9,20.4,16.7,23.1,12.9,38.2,52.3,407.0,5.33,10.6,1.88
91.4,32.5,4.57,1.0,9.73,17.2,36.2,305.0,24.1,62.6,31.3
6.1,21.3,69.8,125.0,196.0,10.9,44.5,1322.0,13.8,5.94,8.82
16.5,33.4,1.0,403.0,35.5,16.0,33.1,710.0,16.4,29.4,19.5
53.8,22.3,24.6,28.4,13.2,17.6,56.7,2436.0,262.0,334.0,7.84
519.0,806.0,9.91,73.7,12.2,3.62,89.8,308.0,2.41,24.1,3.34
34.9,16.5,4.33,72.3,25.9,39.6,70.4,1230.0,12.6,30.5,42.2
88.2,39.6,27.9,89.8,35.9,6.21,24.1,698.0,40.7,73.7,45.7
158.0,109.0,44.1,73.7,12.3,18.9,37.2,679.0,9.22,28.9,26.7
207.0,56.7,3.52,172.0,20.0,5.67,19.3,316.0,17.8,48.3,56.7
90.6,44.5,5.14,11.7,51.4,18.3,27.9,325.0,45.7,67.3,26.4
107.0,30.5,1.95,9.47,7.91,54.7,82.0,1459.0,23.5,42.9,13.1
75.7,111.0,14.3,79.9,23.3,3.82,42.9,204.0,18.6,49.1,15.8
16.1,18.1,24.6,204.0,16.3,67.3,198.0,1655.0,10.0,16.5,34.6
23.5,1.58,18.1,15.3,3.4,71.0,108.0,2091.0,1.0,2.5,1.0
108.0,167.0,284.0,470.0,9.06,61.0,311.0,3.05,42.9,215.0,75.7
441.0,723.0,150.0,274.0,11.5,33.4,217.0,6.67,64.4,337.0,229.0
200.0,33.1,19.5,56.2,16.1,21.7,35.5,305.0,4.26,14.2,95.6
79.9,56.2,17.5,17.2,10.2,138.0,217.0,615.0,8.43,21.7,47.8
93.1,44.9,57.8,500.0,136.0,41.0,76.4,2227.0,20.0,25.3,9.14
70.4,23.1,15.4,145.0,39.6,67.9,106.0,1275.0,21.7,32.2,2.76
193.0,308.0,14.7,46.1,21.3,2.37,16.1,62.6,19.8,44.1,18.3
37.5,25.3,21.3,40.3,10.6,13.0,54.7,362.0,31.6,66.1,71.7
71.0,66.7,4.91,11.4,14.2,5.0,16.0,346.0,18.3,33.4,13.2
42.9,12.4,11.0,9.06,4.7,11.8,31.6,305.0,2.07,17.5,82.0
20.5,8.43,20.9,23.3,8.66,33.4,54.2,311.0,9.56,21.1,25.5
155.0,221.0,991.0,1685.0,30.8,53.3,305.0,18.1,189.0,1124.0,562.0
42.2,13.5,23.5,35.2,26.4,17.6,35.5,638.0,22.1,32.2,8.74
38.9,20.2,15.7,16.3,1.29,9.14,75.7,1433.0,33.1,50.9,8.98
21.5,10.6,3.22,2.44,7.43,29.7,43.3,372.0,6.49,14.9,23.1
45.3,13.9,6.79,12.2,13.6,26.9,39.6,578.0,15.7,41.0,37.2
55.7,33.4,1.0,6.67,7.43,20.4,40.0,610.0,30.0,46.1,10.7
39.6,55.7,9.56,248.0,28.1,12.1,133.0,1358.0,1.7,53.3,12.6
204.0,244.0,18.4,27.6,25.9,1.0,42.2,82.0,5.99,5.62,3.75
29.2,4.03,18.6,17.3,7.17,12.3,26.9,599.0,50.5,120.0,186.0
25.5,3.16,26.7,83.5,29.2,23.5,27.1,274.0,1.0,136.0,7.3
27.1,27.1,17.9,17.5,6.38,6.21,22.1,372.0,11.2,25.3,47.4
14.9,11.0,23.1,19.1,11.0,29.4,47.8,343.0,4.18,57.3,6.85
153.0,225.0,14.5,12.5,11.5,1.0,31.1,30.5,1.0,26.7,5.94
38.2,16.0,5.88,53.8,6.92,21.9,54.2,673.0,21.5,22.5,3.05
83.5,1.01,30.8,23.1,15.0,71.7,73.0,947.0,1.0,17.2,1.76
38.9,24.6,8.66,6.49,26.2,22.7,26.7,219.0,10.7,39.6,71.7
27.9,17.8,11.5,167.0,22.5,4.66,19.8,1018.0,27.1,38.9,16.7
213.0,328.0,26.9,160.0,59.9,1.12,68.5,95.6,7.43,27.4,5.83
16.5,19.3,17.5,34.0,10.3,57.8,123.0,1928.0,4.03,22.1,37.2
106.0,38.2,9.14,24.1,32.2,18.3,30.5,685.0,12.1,28.1,19.6
253.0,346.0,13.0,117.0,36.5,13.7,53.3,300.0,34.3,76.4,26.7
121.0,150.0,17.3,154.0,58.3,2.86,32.8,165.0,1.0,38.9,16.0
92.2,69.8,13.9,17.9,12.9,17.2,27.6,491.0,15.7,34.9,17.9
64.4,31.1,7.91,246.0,51.4,22.1,37.2,385.0,21.5,28.9,17.9
131.0,77.7,6.67,129.0,36.2,20.4,35.9,519.0,16.5,51.4,75.7
49.1,16.5,13.3,141.0,25.7,31.1,62.1,710.0,14.2,27.4,22.1
29.4,31.1,45.7,52.8,8.82,26.7,47.8,523.0,10.0,23.3,29.4
17.8,17.0,26.7,15.5,4.7,21.5,38.9,1065.0,5.73,30.5,12.3
42.2,15.7,10.4,193.0,11.0,30.8,43.3,382.0,17.6,23.1,2.29
47.4,1.01,23.7,24.1,11.8,16.1,18.9,343.0,1.0,18.6,16.4
24.6,35.9,7.64,87.4,16.3,9.91,17.5,851.0,17.5,18.3,10.9
85.8,67.3,8.06,32.2,31.3,35.2,40.0,403.0,2.59,25.3,49.6
426.0,255.0,11.5,58.3,15.8,7.77,16.3,685.0,5.52,6.44,3.62
538.0,1009.0,750.0,1370.0,20.0,46.6,267.0,1.84,48.3,279.0,221.0
41.4,24.4,18.6,23.3,6.38,16.1,26.2,906.0,13.6,40.3,42.6
257.0,487.0,136.0,255.0,4.66,35.2,204.0,4.49,43.3,286.0,173.0
112.0,34.6,14.9,104.0,40.0,19.1,28.1,274.0,15.4,17.3,9.39
47.8,34.9,13.5,21.7,13.9,9.56,19.1,483.0,1.55,25.3,87.4
14.5,18.9,5.52,10.6,11.9,29.7,46.1,514.0,1.07,37.2,5.09
28.9,15.3,41.4,142.0,35.5,16.1,34.6,478.0,3.79,24.1,24.1
24.1,28.1,15.1,217.0,41.0,48.7,135.0,1055.0,10.7,16.3,9.47
14.3,16.8,1.81,5.73,27.6,12.9,33.7,523.0,47.8,106.0,58.8
25.3,23.3,14.3,18.9,11.5,10.9,36.2,389.0,18.1,35.2,7.5
99.1,53.3,17.2,101.0,26.7,38.5,70.4,552.0,2.48,7.91,89.0
7.84,26.2,10.0,8.43,16.7,7.37,14.6,248.0,13.2,23.1,30.5
38.9,18.4,13.7,14.9,10.5,8.58,23.3,410.0,6.44,12.0,80.6
3.37,11.7,21.1,54.7,5.52,21.7,27.1,1104.0,12.6,36.8,105.0
8.66,22.5,8.74,31.6,46.6,13.9,25.0,626.0,29.4,34.0,1.93
16.4,8.9,33.1,54.2,16.5,26.4,35.2,466.0,9.65,13.3,1.43
40.0,20.0,14.2,85.1,18.9,6.04,12.3,379.0,5.0,15.5,74.3
12.1,7.57,18.9,22.3,8.2,5.14,22.1,626.0,3.85,16.0,26.9
15.7,1.01,41.0,49.1,25.9,40.0,56.7,890.0,3.19,11.7,1.64
49.6,41.4,25.7,11.1,9.06,28.9,57.3,1762.0,5.0,27.1,33.1
106.0,25.5,5.28,204.0,14.2,4.78,29.4,673.0,19.6,24.6,22.1
16.1,13.5,24.1,7.17,8.43,20.0,37.2,866.0,15.4,30.0,53.3
13.2,9.14,4.91,2.71,1.29,12.3,24.4,474.0,15.3,16.5,7.64
56.7,50.5,17.9,209.0,16.7,3.25,27.1,264.0,10.5,15.1,56.2
172.0,286.0,17.8,14.2,1.27,1.0,137.0,267.0,1.54,12.5,1.79
170.0,253.0,15.4,15.8,9.39,10.1,57.8,1778.0,1.39,31.6,13.2
87.4,153.0,9.91,42.9,6.73,23.5,31.1,334.0,12.7,20.2,12.5
1554.0,2371.0,12.6,183.0,20.2,2.55,82.8,233.0,1.0,26.4,7.17
69.8,22.3,15.8,35.2,9.56,9.56,31.6,965.0,14.6,28.4,8.98
271.0,426.0,143.0,233.0,8.13,34.0,167.0,9.82,51.4,305.0,131.0
31.9,24.6,13.7,24.8,13.5,6.15,15.8,621.0,22.7,31.1,7.43
87.4,54.7,19.6,8.58,24.8,15.8,33.1,757.0,24.6,40.7,25.0
215.0,322.0,281.0,552.0,4.7,41.4,229.0,16.0,349.0,1827.0,262.0
26.4,3.52,31.6,28.1,18.9,16.8,28.9,385.0,1.0,3.11,1.55
28.6,22.5,15.8,33.7,13.1,33.7,53.8,286.0,37.2,78.4,167.0
73.0,61.5,9.47,3.96,15.4,7.17,13.7,241.0,36.5,76.4,49.1
16.5,33.4,7.7,120.0,46.1,14.1,27.6,414.0,7.1,5.99,13.0
41.4,34.3,14.9,178.0,39.6,27.6,42.9,294.0,31.3,34.6,4.83
225.0,313.0,10.5,89.0,36.2,3.37,69.8,267.0,1.0,27.6,3.34
6.21,4.87,4.29,221.0,14.9,28.4,47.4,400.0,15.5,22.1,7.17
11.2,7.17,20.2,20.7,8.51,31.1,44.9,470.0,18.8,50.9,89.0
34.6,30.0,18.3,109.0,9.82,112.0,189.0,2525.0,10.3,20.9,22.9
131.0,115.0,10.3,135.0,55.2,9.91,19.8,599.0,12.3,9.39,14.7
73.0,23.1,5.42,92.2,14.6,4.26,30.2,991.0,30.8,74.3,36.5
20.7,7.77,23.1,55.7,12.9,93.9,176.0,1512.0,34.3,38.9,64.9
38.2,34.0,13.2,20.5,11.9,4.91,12.7,441.0,22.5,30.2,73.0
21.1,38.2,31.3,34.0,8.98,2.97,21.1,519.0,10.0,26.9,38.2
281.0,414.0,22.5,31.1,21.7,6.32,77.0,271.0,4.07,27.9,1.67
11.8,22.5,9.39,122.0,12.9,37.2,54.7,667.0,9.39,14.5,3.68
25.7,2.19,20.2,23.1,18.3,14.2,22.7,297.0,1.0,1.01,2.37
38.9,25.5,26.9,16.8,8.58,17.5,32.2,496.0,11.9,33.7,48.7
24.4,4.22,13.8,77.0,40.7,24.6,24.8,372.0,1.0,147.0,1.41
40.3,2.64,13.7,111.0,27.9,13.3,17.3,325.0,1.0,1.0,1.0
183.0,271.0,6.15,215.0,19.1,1.0,22.1,3.65,26.7,69.8,92.2
51.4,37.9,42.6,73.7,36.2,15.5,35.5,1219.0,1.98,17.6,77.0
56.7,18.8,5.47,1.86,9.06,9.06,20.9,552.0,1.0,33.1,79.9
79.9,167.0,14.7,22.7,7.43,13.6,27.9,588.0,10.6,9.56,16.8
10.5,23.9,3.34,2.86,26.4,5.62,28.4,777.0,25.3,58.8,31.9
31.1,28.1,26.7,42.9,15.3,2.27,14.5,173.0,27.1,61.0,87.4
17.9,19.8,41.4,191.0,18.8,3.72,27.4,372.0,10.1,21.7,29.7
130.0,155.0,41.0,67.9,18.1,7.99,33.7,111.0,2.11,15.7,3.96
31.9,22.7,12.6,215.0,18.9,18.8,37.9,685.0,2.46,58.3,6.79
74.3,32.2,14.2,15.3,11.4,13.3,30.0,500.0,2.76,6.49,11.9
16.3,9.39,25.7,11.9,1.91,150.0,225.0,2308.0,18.1,33.7,25.3
77.0,21.1,12.2,22.1,3.13,6.61,22.9,445.0,26.9,38.2,10.3
24.6,1.3,41.8,215.0,91.4,34.9,34.6,284.0,1.0,12.2,1.72
24.6,35.2,15.7,50.0,14.6,38.9,69.8,470.0,9.65,16.8,34.6
22.9,19.3,13.9,16.7,7.77,111.0,172.0,2054.0,9.31,20.5,22.5
58.8,35.9,2.84,7.37,16.0,22.9,32.5,294.0,20.2,40.0,11.5
31.1,20.0,12.1,157.0,15.8,94.7,136.0,1046.0,10.5,33.7,51.4
13.2,6.79,10.3,178.0,29.2,22.5,38.2,334.0,13.6,27.6,10.4
102.0,32.5,7.64,246.0,59.4,29.2,44.5,319.0,15.3,14.2,10.4
16.3,9.31,17.6,25.3,62.1,10.3,33.7,441.0,1.32,5.78,6.85
41.0,23.1,20.9,11.8,8.9,21.3,37.2,784.0,3.19,21.9,65.5
433.0,632.0,340.0,573.0,16.4,39.2,300.0,5.28,308.0,1794.0,368.0
67.3,21.9,8.9,205.0,34.9,28.6,34.9,276.0,3.11,95.6,3.37
