raf,mek,plc,pip2,pip3,erk,akt,pka,pkc,p38,jnk
172.0,297.0,1208.0,1928.0,17.9,117.0,723.0,9.06,30.8,191.0,82.0
34.3,1.01,36.2,45.3,34.0,6.32,9.31,244.0,1.0,1.0,2.69
39.2,14.5,12.6,274.0,53.8,10.4,10.8,717.0,15.4,31.3,13.7
223.0,362.0,410.0,730.0,11.8,111.0,661.0,14.6,302.0,1640.0,626.0
41.0,45.3,644.0,1144.0,22.1,79.1,519.0,19.5,45.3,92.2,667.0
70.4,100.0,1670.0,2458.0,113.0,93.9,567.0,39.6,65.5,379.0,91.4
160.0,231.0,229.0,400.0,14.5,74.3,567.0,4.78,164.0,1037.0,246.0
246.0,410.0,418.0,626.0,15.0,117.0,710.0,22.9,66.1,449.0,396.0
41.8,1.01,26.9,62.1,13.6,3.72,6.61,313.0,1.0,8.9,1.04
73.0,82.8,23.1,13.5,1.29,5.83,11.8,528.0,13.7,28.6,23.1
161.0,248.0,362.0,661.0,6.38,69.8,505.0,8.98,1358.0,6916.0,4740.0
382.0,615.0,269.0,519.0,15.1,58.8,433.0,9.39,1055.0,5280.0,1310.0
349.0,547.0,158.0,237.0,1.01,69.8,382.0,14.5,188.0,922.0,1395.0
246.0,302.0,750.0,1322.0,41.8,63.2,514.0,9.22,24.6,82.8,599.0
151.0,264.0,375.0,632.0,25.0,56.7,362.0,4.33,219.0,1176.0,250.0
196.0,313.0,730.0,1346.0,15.5,69.8,385.0,8.58,27.4,108.0,111.0
151.0,289.0,53.3,67.3,55.7,98.2,655.0,14.9,26.2,168.0,14.5
9.56,24.4,5.67,17.8,28.4,9.65,12.1,533.0,9.47,17.6,12.0
105.0,200.0,483.0,931.0,5.73,75.0,445.0,13.2,47.8,325.0,172.0
35.9,1.01,14.3,85.1,25.7,6.32,9.82,262.0,16.5,4.7,1.0
103.0,155.0,104.0,202.0,1.37,71.0,514.0,5.47,53.8,281.0,120.0
158.0,276.0,167.0,292.0,12.3,71.0,418.0,4.14,47.4,264.0,145.0
137.0,253.0,4.41,13.7,13.7,6.98,4.91,325.0,2.69,11.3,14.9
1486.0,2227.0,743.0,1407.0,15.3,106.0,698.0,28.1,139.0,799.0,322.0
42.2,1.0,18.8,24.1,19.1,7.91,10.6,368.0,1.0,1.0,1.6
47.8,30.8,26.2,37.9,5.99,7.5,7.04,414.0,35.9,82.8,160.0
90.6,135.0,487.0,1027.0,61.0,108.0,730.0,7.1,16.7,89.8,31.6
94.7,138.0,151.0,225.0,6.21,68.5,426.0,7.77,88.2,528.0,105.0
231.0,346.0,183.0,331.0,17.9,105.0,599.0,13.1,51.9,343.0,300.0
85.1,39.6,8.9,64.9,11.7,6.67,12.2,528.0,17.9,44.1,118.0
231.0,426.0,223.0,379.0,6.1,106.0,509.0,10.3,91.4,567.0,200.0
34.3,16.4,17.6,56.2,47.0,5.99,10.6,215.0,42.9,68.5,18.1
13.9,2.48,66.1,264.0,95.6,8.98,11.9,362.0,1.83,14.3,1.37
22.5,1.72,20.5,112.0,31.1,3.22,7.1,346.0,1.0,1.0,2.92
107.0,30.0,8.66,38.2,9.82,6.26,8.13,466.0,5.88,27.6,155.0
221.0,359.0,368.0,661.0,7.57,78.4,487.0,3.65,85.8,466.0,179.0
